,SalesID,Employee_ID,CustomerID,ProductID,Quantity,Product_Name,Product_Price,Employee_Name,Employee_Middle,Employee_Lastname,Customer_Name,Customer_Middle,Customer_LastName,Product_Category
0,1,17,10482,500,500,ML Bottom Bracket,101.24,Albert,i,Ringer,Joseph,,White,Components
1,151,17,10482,500,500,ML Bottom Bracket,101.24,?,i,,Joseph,,White,Components
2,202,17,10482,500,500,ML Bottom Bracket,101.24,?,,,Joseph,,White,Components
3,782,17,10482,500,500,ML Bottom Bracket,101.24,,i,Ringer,Joseph,,White,Components
4,7902,17,6025,500,500,ML Bottom Bracket,101.24,Albert,i,Ringer,Eduardo,J,Brown,Components
5,11694,17,973,500,500,ML Bottom Bracket,101.24,Albert,i,Ringer,Alvin,V,Zheng,Components
6,514710,20,720,500,500,ML Bottom Bracket,101.24,Dean,t,Straight,Alexis,B,Hughes,Components
7,2,5,1964,306,810,"Road-550-W Yellow, 48",1120.49,Innes,e,del Castillo,Austin,M,Jai,Bikes
8,1744,5,1964,306,810,"Road-550-W Yellow, 48",1120.49$,Innes,e,del Castillo,Austin,M,Jai,Bikes
9,7922,5,19640,306,810,"Road-550-W Yellow, 48",1120.49,Innes,e,del Castillo,Xavier,M,Smith,Bikes
10,11650,5,18569,306,810,"Road-550-W Yellow, 48",1120.49,Innes,e,del Castillo,Thomas,,Martinez,Bikes
11,551737,19,8400,306,811,"Road-550-W Yellow, 48",1120.49,,,,Jack,,Carter,Bikes
12,551926,19,8400,306,811,"Road-550-W Yellow, 48",1120.49,Meander,m,Smith,Jack,,Carter,Bikes
13,552052,19,8400,306,811,"Road-550-W Yellow, 48",1120.49,,m,Smith,Jack,,Carter,Bikes
14,553435,19,8400,306,811,"Road-550-W Yellow, 48",1120.49,,m,Smith,Jack,,Carter,Bikes
15,830657,19,8400,306,828,"Road-550-W Yellow, 48",1120.49,Meander,m,Smith,Jack,,Carter,Bikes
16,908512,6,8400,306,811,"Road-550-W Yellow, 48",1120.49,Ann,u,Dull,Jack,,Carter,Bikes
17,1048187,19,8400,306,811,"Road-550-W Yellow, 48",1120.49,Null,Null,Null,Jack,,Carter,Bikes
18,3,8,12300,123,123,Lock Nut 9,177.6$,Morningstar,r,Greene,Lauren,W,Cooper,Accessories
19,19,8,12300,123,123,Lock Nut 9,177.6,Morningstar,r,Greene,Lauren,W,Cooper,Accessories
20,7878,8,4446,123,123,Lock Nut 9,177.6,Morningstar,r,Greene,Connor,,Edwards,Accessories
21,11670,8,4942,123,123,Lock Nut 9,177.6,Morningstar,r,Greene,Danielle,J,Sanders,Accessories
22,4,1,4182,437,437,ML Road Tire,24.99,Abraham,e,Bennet,Clarence,L,Zeng,Components
23,87,1,4182,437,437,ML Road Tire,24.99,,e,,Clarence,L,Zeng,Components
24,522,1,4182,437,437,ML Road Tire,24.99,,e,Bennet,Clarence,L,Zeng,Components
25,586,1,4182,437,437,ML Road Tire,24.99,Abraham,e,,Clarence,L,Zeng,Components
26,778,,4182,437,437,ML Road Tire,24.99,Abraham,e,Bennet,Clarence,L,Zeng,Components
27,7898,1,2302,437,437,ML Road Tire,24.99,Abraham,e,Bennet,Blake,,Long,Components
28,9036,1,2302,437,437,ML Road Tire,24.99,Abraham,e,,Blake,,Long,Components
29,9290,1,2302,437,437,ML Road Tire,24.99,,e,Bennet,Blake,,Long,Components
30,11628,1,3261,437,437,ML Road Tire,24.99,Abraham,e,Bennet,Carlos,,Howard,Components
31,37151,1,3261,437,437,ML Road Tire,24.99,,,,Carlos,,Howard,Components
32,38226,1,3261,437,437,ML Road Tire,24.99,,,Bennet,Carlos,,Howard,Components
33,38279,1,3261,437,437,ML Road Tire,24.99$$,,,Bennet,Carlos,,Howard,Components
34,38343,1,3261,437,437,ML Road Tire,24.99,Abraham,,Bennet,Carlos,,Howard,Components
35,153927,1,3261,437,437,ML Road Tire,24.99,Abraham,e,,Carlos,,Howard,Components
36,5,14,15723,246,750,"HL Mountain Frame - Silver, 48",$1364.5 $,Heather,c,McBadden,Preston,,Perez,
37,21,14,15723,246,750,"HL Mountain Frame - Silver, 48",$1364.5 $,Heather,c,,Preston,,Perez,
38,3520,14,15723,246,750,"HL Mountain Frame - Silver, 48",1364.5/ -,Heather,c,McBadden,Preston,,Perez,
39,7918,14,18917,246,750,"HL Mountain Frame - Silver, 48",1364.5/ -,Heather,c,McBadden,Trish,E,Pederson,
40,11646,14,11339,246,750,"HL Mountain Frame - Silver, 48",1364.5/ -,Heather,c,McBadden,Katrina,M,Sharma,
41,27579,14,11339,246,750,"HL Mountain Frame - Silver, 48",1364.5EUR,Heather,c,McBadden,Katrina,M,Sharma,
42,56302,14,11339,246,750,"HL Mountain Frame - Silver, 48",R.s. 1364.5,Heather,c,McBadden,Katrina,M,Sharma,
43,100728,14,11339,246,750,"HL Mountain Frame - Silver, 48",GBP 1364.5,Heather,c,McBadden,Katrina,M,Sharma,
44,142269,14,11339,246,750$%^&,"HL Mountain Frame - Silver, 48",GBP 1364.5,Heather,c,McBadden,Katrina,M,Sharma,
45,146861,14,11339,246,750$%^&,"HL Mountain Frame - Silver, 48",1364.5,Heather,c,McBadden,Katrina,M,Sharma,
46,172571,14,11339,246,750,"HL Mountain Frame - Silver, 48",1364.5,Heather,c,McBadden,Katrina,M,Sharma,
47,172826,14,11339,246,750,"HL Mountain Frame - Silver, 48",1364.5 R.s.,Heather,c,McBadden,Katrina,M,Sharma,
48,203165,14,11339,246,750 GH*(),"HL Mountain Frame - Silver, 48",1364.5 R.s.,Heather,c,McBadden,Katrina,M,Sharma,
49,203612,14,11339,246,750 GH*(),"HL Mountain Frame - Silver, 48",1364.5,Heather,c,McBadden,Katrina,M,Sharma,
50,236238,14,11339,246,750,"HL Mountain Frame - Silver, 48",$$1364.5,Heather,c,McBadden,Katrina,M,Sharma,
51,272763,14,11339,246,247yuo,"HL Mountain Frame - Silver, 48",1364.5,Heather,c,McBadden,Katrina,M,Sharma,
52,553305,7,1200,246,751,"HL Mountain Frame - Silver, 48",1364.5,Marjorie,r,Green,Andre,E,Arun,
53,587376,7,1200,246,751,"HL Mountain Frame - Silver, 48",1364.5,,,Green,Andre,E,Arun,
54,588397,7,1200,246,751,"HL Mountain Frame - Silver, 48",1364.5,Marjorie,,Green,Andre,E,Arun,
55,589099,7,1200,246,751,"HL Mountain Frame - Silver, 48",1364.5,Marjorie,,,Andre,E,Arun,
56,833322,14,1200,246,751,"HL Mountain Frame - Silver, 48",1364.5,Heather,c,McBadden,Andre,E,Arun,
57,961118,7,1200,246,751,"HL Mountain Frame - Silver, 48",$$1364.5Eu,Marjorie,r,Green,Andre,E,Arun,
58,983250,7,1200,246,751DI(),"HL Mountain Frame - Silver, 48",$$1364.5Eu,Marjorie,r,Green,Andre,E,Arun,
59,987610,7,1200,246,751DI(),"HL Mountain Frame - Silver, 48",1364.5,Marjorie,r,Green,Andre,E,Arun,
60,1015617,7,1200,246,751,"HL Mountain Frame - Silver, 48",1364.5 EU$$,Marjorie,r,Green,Andre,E,Arun,
61,6,14,6000,60,60r,Hex Nut 9,152.4$,Heather,c,McBadden,Eduardo,,Walker,Components
62,22,14,6000,60,60,Hex Nut 9,152.4,Heather,c,McBadden,Eduardo,,Walker,Components
63,7874,14,723,60,60,Hex Nut 9,152.4,Heather,c,McBadden,Alexis,D,Wilson,Components
64,11666,14,7230,60,60,Hex Nut 9,152.4,Heather,c,McBadden,Garrett,,Murphy,Components
65,65761,14,7230,60,60,Hex Nut 9,152.4,Heather,c,,Garrett,,Murphy,Components
66,7,5,17541,373,373,"Women's Mountain Shorts, M",69.99$,Innes,e,del Castillo,Shaun,N,Andersen,Clothing
67,23,5,17541,373,373,"Women's Mountain Shorts, M",69.99,Innes,e,del Castillo,Shaun,N,Andersen,Clothing
68,7894,5,17338,373,373,"Women's Mountain Shorts, M",69.99,Innes,e,del Castillo,Seth,,Bennett,Clothing
69,11624,5,15308,373,373,"Women's Mountain Shorts, M",69.99,Innes,e,del Castillo,Olivia,K,Cox,Clothing
70,8,20,9423,183,687,LL Road Rim,306,Dean,t,Straight,Jenny,S,Liang,Components
71,24,20,9423,183,687&&,LL Road Rim,306,Dean,t,Straight,Jenny,S,Liang,Components
72,177,20,9423,183,687,LL Road Rim,306,,,Straight,Jenny,S,Liang,Components
73,1672,20,9423,183,687,LL Road Rim,306,,,,Jenny,S,Liang,Components
74,1928,20,9423,183,687,LL Road Rim,306,Dean,,,Jenny,S,Liang,Components
75,1992,20,9423,183,687,LL Road Rim,306,Dean,t,,Jenny,S,Liang,Components
76,3112,22,18300,183,183,LL Road Rim,306,Johnson,h,White,Tara,,Xie,Components
77,7914,20,15194,183,687,LL Road Rim,306,Dean,t,Straight,Noah,,Jones,Components
78,11642,20,13627,183,687,LL Road Rim,306,Dean,t,Straight,Marvin,C,Gomez,Components
79,13801,22,12172,183,183,LL Road Rim,306,Johnson,h,White,Latasha,,Suarez,Components
80,16494,22,12172,183,183m,LL Road Rim,306,Johnson,h,White,Latasha,,Suarez,Components
81,47557,22,12172,183,183*(,LL Road Rim,306,Johnson,h,White,Latasha,,Suarez,Components
82,62158,22,12172,183,GH183,LL Road Rim,306,Johnson,h,White,Latasha,,Suarez,Components
83,63172,22,12172,183,183g,LL Road Rim,306,Johnson,h,White,Latasha,,Suarez,Components
84,64758,22,12172,183,??183,LL Road Rim,306,Johnson,h,White,Latasha,,Suarez,Components
85,65141,22,12172,183,1f83,LL Road Rim,306,Johnson,h,White,Latasha,,Suarez,Components
86,65769,22,12172,183,18fm3,LL Road Rim,306,Johnson,h,White,Latasha,,Suarez,Components
87,66456,22,12172,183,183--,LL Road Rim,306,Johnson,h,White,Latasha,,Suarez,Components
88,66903,22,12172,183,18fg3,LL Road Rim,306,Johnson,h,White,Latasha,,Suarez,Components
89,67278,22,12172,183,183LHJ,LL Road Rim,306,Johnson,h,White,Latasha,,Suarez,Components
90,67406,22,12172,183,fg183,LL Road Rim,306,Johnson,h,White,Latasha,,Suarez,Components
91,553239,16,3520,183,688,LL Road Rim,306,Sylvia,a,Panteley,Casey,J,Xu,Components
92,856337,16,3520,183,701,LL Road Rim,306,Sylvia,a,Panteley,Casey,J,Xu,Components
93,944127,23,3520,183,688,LL Road Rim,306,Akiko,o,Yokomoto,Casey,J,Xu,Components
94,946975,23,11360,183,688,LL Road Rim,306,Akiko,o,Yokomoto,Kayla,,Taylor,Components
95,9,1,1,1,-10,Adjustable Race,1.6$,Abraham,e,Bennet,\,,Alexander,Accessories
