,Unnamed: 0,SalesID,Employee_ID,CustomerID,ProductID,Quantity,Product_Name,Product_Price,Employee_Name,Employee_Middle,Employee_Lastname,Customer_Name,Customer_Middle,Customer_LastName,Product_Category
0,0,1,17.0,10482,500,500,ML Bottom Bracket,101,Albert,i,Ringer,Joseph,,White,Components
1,1,151,17.0,10482,500,500,ML Bottom Bracket,101,?,i,,Joseph,,White,Components
2,2,202,17.0,10482,500,500,ML Bottom Bracket,101,?,,,Joseph,,White,Components
3,3,782,17.0,10482,500,500,ML Bottom Bracket,101,,i,Ringer,Joseph,,White,Components
4,4,7902,17.0,6025,500,500,ML Bottom Bracket,101,Albert,i,Ringer,Eduardo,J,Brown,Components
5,5,11694,17.0,973,500,500,ML Bottom Bracket,101,Albert,i,Ringer,Alvin,V,Zheng,Components
6,6,514710,20.0,720,500,500,ML Bottom Bracket,101,Dean,t,Straight,Alexis,B,Hughes,Components
7,7,2,5.0,1964,306,810,"Road-550-W Yellow, 48",1120,Innes,e,del Castillo,Austin,M,Jai,Bikes
8,8,1744,5.0,1964,306,810,"Road-550-W Yellow, 48",1120,Innes,e,del Castillo,Austin,M,Jai,Bikes
9,9,7922,5.0,19640,306,810,"Road-550-W Yellow, 48",1120,Innes,e,del Castillo,Xavier,M,Smith,Bikes
10,10,11650,5.0,18569,306,810,"Road-550-W Yellow, 48",1120,Innes,e,del Castillo,Thomas,,Martinez,Bikes
11,11,551737,19.0,8400,306,811,"Road-550-W Yellow, 48",1120,,,,Jack,,Carter,Bikes
12,12,551926,19.0,8400,306,811,"Road-550-W Yellow, 48",1120,Meander,m,Smith,Jack,,Carter,Bikes
13,13,552052,19.0,8400,306,811,"Road-550-W Yellow, 48",1120,,m,Smith,Jack,,Carter,Bikes
14,14,553435,19.0,8400,306,811,"Road-550-W Yellow, 48",1120,,m,Smith,Jack,,Carter,Bikes
15,15,830657,19.0,8400,306,828,"Road-550-W Yellow, 48",1120,Meander,m,Smith,Jack,,Carter,Bikes
16,16,908512,6.0,8400,306,811,"Road-550-W Yellow, 48",1120,Ann,u,Dull,Jack,,Carter,Bikes
17,17,1048187,19.0,8400,306,811,"Road-550-W Yellow, 48",1120,Null,Null,Null,Jack,,Carter,Bikes
18,18,3,8.0,12300,123,123,Lock Nut 9,177,Morningstar,r,Greene,Lauren,W,Cooper,Accessories
19,19,19,8.0,12300,123,123,Lock Nut 9,177,Morningstar,r,Greene,Lauren,W,Cooper,Accessories
20,20,7878,8.0,4446,123,123,Lock Nut 9,177,Morningstar,r,Greene,Connor,,Edwards,Accessories
21,21,11670,8.0,4942,123,123,Lock Nut 9,177,Morningstar,r,Greene,Danielle,J,Sanders,Accessories
22,22,4,1.0,4182,437,437,ML Road Tire,24,Abraham,e,Bennet,Clarence,L,Zeng,Components
23,23,87,1.0,4182,437,437,ML Road Tire,24,,e,,Clarence,L,Zeng,Components
24,24,522,1.0,4182,437,437,ML Road Tire,24,,e,Bennet,Clarence,L,Zeng,Components
25,25,586,1.0,4182,437,437,ML Road Tire,24,Abraham,e,,Clarence,L,Zeng,Components
26,26,778,-1.0,4182,437,437,ML Road Tire,24,Abraham,e,Bennet,Clarence,L,Zeng,Components
27,27,7898,1.0,2302,437,437,ML Road Tire,24,Abraham,e,Bennet,Blake,,Long,Components
28,28,9036,1.0,2302,437,437,ML Road Tire,24,Abraham,e,,Blake,,Long,Components
29,29,9290,1.0,2302,437,437,ML Road Tire,24,,e,Bennet,Blake,,Long,Components
30,30,11628,1.0,3261,437,437,ML Road Tire,24,Abraham,e,Bennet,Carlos,,Howard,Components
31,31,37151,1.0,3261,437,437,ML Road Tire,24,,,,Carlos,,Howard,Components
32,32,38226,1.0,3261,437,437,ML Road Tire,24,,,Bennet,Carlos,,Howard,Components
33,33,38279,1.0,3261,437,437,ML Road Tire,24,,,Bennet,Carlos,,Howard,Components
34,34,38343,1.0,3261,437,437,ML Road Tire,24,Abraham,,Bennet,Carlos,,Howard,Components
35,35,153927,1.0,3261,437,437,ML Road Tire,24,Abraham,e,,Carlos,,Howard,Components
36,36,5,14.0,15723,246,750,"HL Mountain Frame - Silver, 48",1364,Heather,c,McBadden,Preston,,Perez,
37,37,21,14.0,15723,246,750,"HL Mountain Frame - Silver, 48",1364,Heather,c,,Preston,,Perez,
38,38,3520,14.0,15723,246,750,"HL Mountain Frame - Silver, 48",1364,Heather,c,McBadden,Preston,,Perez,
39,39,7918,14.0,18917,246,750,"HL Mountain Frame - Silver, 48",1364,Heather,c,McBadden,Trish,E,Pederson,
40,40,11646,14.0,11339,246,750,"HL Mountain Frame - Silver, 48",1364,Heather,c,McBadden,Katrina,M,Sharma,
